imgid,title,genres
112445,The White Balloon,Drama|Family
114660,Things to Do in Denver When You're Dead,Crime|Drama
112379,Antonia's Line,Comedy|Drama
114039,Once Upon a Time... When We Were Colored,Drama|Romance
113612,Last Summer in the Hamptons,Comedy|Drama
112365,Angels and Insects,Drama|Romance
118158,White Squall,Adventure|Drama
116151,Dunston Checks In,Comedy|Adventure|Family
115697,Black Sheep,Comedy
113972,Nick of Time,Action|Crime|Drama
113490,The Journey of August King,Drama
114825,Vampire in Brooklyn,Comedy|Fantasy|Horror
115639,Beautiful Girls,Comedy|Drama|Romance
115759,Broken Arrow,Action|Crime|Thriller
113403,A Midwinter's Tale,Comedy
113247,La Haine,Crime|Drama
111173,Shopping,Action|Crime|Drama
113283,Heidi Fleiss: Hollywood Madam,Documentary|Biography
115907,City Hall,Drama
117102,Mr. Wrong,Comedy
118040,Unforgettable,Drama|Mystery|Sci-Fi
116483,Happy Gilmore,Comedy|Family|Sport
110251,Nobody Loves Me,Comedy|Drama
117110,Muppet Treasure Island,Action|Adventure|Comedy
112646,Catwalk,Documentary
113276,Headless Body in Topless Bar,Comedy|Crime|Drama
112573,Braveheart,Biography|Drama|History
113326,Rumble in the Bronx,Action|Comedy|Crime
115645,Before and After,Crime|Drama|Mystery
113774,Margaret's Museum,Drama
112556,Happiness Is in the Field,Comedy
112373,Anne Frank Remembered,Documentary|Biography|War
115033,The Young Poisoner's Handbook,Crime|Drama
116606,If Lucy Fell,Comedy|Romance
114536,Steal Big Steal Little,Comedy
117427,Race the Sun,Adventure|Comedy|Drama
106473,The Boys of St. Vincent,Drama
103859,Boomerang,Comedy|Drama|Romance
109424,Chungking Express,Comedy|Drama|Romance
114808,The Star Maker,Drama|Romance
116324,Flirting with Disaster,Comedy
110647,The Neverending Story III,Adventure|Comedy|Family
111055,The Silences of the Palace,Drama
110217,Jupiter's Wife,Documentary|Biography|Mystery
114131,Pie in the Sky,Comedy|Romance
112364,Angela,Drama
113107,Frankie Starlight,Drama|Romance|War
113451,Jade,Crime|Drama|Thriller
114500,Sonic Outlaws,Documentary
116130,Down Periscope,Comedy
113125,From the Journals of Jean Seberg,Documentary|Biography
113756,Man of the Year,Comedy|Romance
113952,The Neon Bible,Drama
118055,Up Close & Personal,Drama|Romance
115685,The Birdcage,Comedy
113200,Gospa,Drama
112585,The Brothers McMullen,Comedy|Drama|Romance
112442,Bad Boys,Action|Comedy|Crime
112342,The Amazing Panda Adventure,Family|Adventure|Drama
112461,The Basketball Diaries,Biography|Crime|Drama
112427,An Awfully Big Adventure,Comedy|Drama|Romance
109093,Amateur,Comedy|Crime|Drama
112384,Apollo 13,Adventure|Drama|History
114287,Rob Roy,Adventure|Biography|History
112288,The Addiction,Horror
112462,Batman Forever,Action|Adventure|Fantasy
61395,Belle de Jour,Drama
112495,Beyond Rangoon,Action|Drama
109370,Canadian Bacon,Comedy
112642,Casper,Comedy|Family|Fantasy
112688,Clockers,Crime|Drama|Mystery
112715,Congo,Action|Adventure|Mystery
112740,Crimson Tide,Action|Drama|Thriller
112851,Desperado,Action|Thriller
112864,Die Hard with a Vengeance,Action|Adventure|Thriller
112887,The Doom Generation,Action|Comedy|Crime
113044,Feast of July,Crime|Drama|Mystery
113071,First Knight,Action|Adventure|Romance
113114,Free Willy 2: The Adventure Home,Adventure|Drama|Family
113243,Hackers,Comedy|Crime|Drama
113464,Jeffrey,Comedy|Drama
113481,Johnny Mnemonic,Action|Crime|Sci-Fi
113492,Judge Dredd,Action|Crime|Sci-Fi
113500,Jury Duty,Comedy
113540,Kids,Drama
113677,Living in Oblivion,Comedy|Drama
113690,Lord of Illusions,Horror|Mystery|Thriller
107447,Love & Human Remains,Drama|Comedy
113729,Mad Love,Drama|Romance
113749,Mallrats,Comedy|Romance
113820,Mighty Morphin Power Rangers: The Movie,Action|Adventure|Family
113851,Moonlight and Valentino,Comedy|Drama|Romance
110604,Mute Witness,Horror|Thriller
110620,Nadja,Drama|Horror
113957,The Net,Action|Crime|Drama
113986,Nine Months,Comedy|Romance
114095,Party Girl,Comedy
114194,The Prophecy,Action|Crime|Drama
114241,Reckless,Comedy|Drama|Fantasy
114323,Safe,Drama
114345,The Scarlet Letter,Drama|Romance
114435,The Show,Documentary|Music
114436,Showgirls,Drama
114478,Smoke,Comedy|Drama
114496,Something to Talk About,Comedy|Drama|Romance
114508,Species,Action|Horror|Sci-Fi
114534,The Stars Fell on Henrietta,Drama
114558,Strange Days,Action|Crime|Drama
58450,The Umbrellas of Cherbourg,Drama|Musical|Romance
114666,The Tie That Binds,Crime|Drama|Thriller
114663,Three Wishes,Drama|Fantasy
114702,Total Eclipse,Biography|Drama|Romance
114682,"To Wong Foo Thanks for Everything, Julie Newmar",Comedy|Drama
114781,Under Siege 2: Dark Territory,Action|Thriller
114798,Unstrung Heroes,Comedy|Drama
114805,Unzipped,Documentary
114887,A Walk in the Clouds,Drama|Romance
114898,Waterworld,Action|Adventure|Sci-Fi
114928,White Man's Burden,Drama|Thriller
114938,Wild Bill,Action|Biography|Western
109340,The Browning Version,Drama
112602,Bushwhacked,Adventure|Comedy|Crime
111579,Burnt by the Sun,Drama|War
110882,Before the Rain,Drama|War
112471,Before Sunrise,Drama|Romance
112508,Billy Madison,Comedy
112438,The Babysitter,Drama|Thriller
112571,Boys on the Side,Comedy|Drama
112757,The Cure,Drama
112643,Castle Freak,Drama|Horror|Mystery
112679,Circle of Friends,Drama|Romance
109445,Clerks,Comedy
112883,Don Juan DeMarco,Comedy|Drama|Romance
109635,Disclosure,Drama|Thriller
112899,Dream Man,Thriller
109676,Drop Zone,Action|Adventure|Thriller
112854,Destiny Turns on the Radio,Crime|Comedy|Fantasy
109642,Dolores Claiborne,Crime|Drama|Mystery
109686,Dumb & Dumber,Comedy
111797,Eat Drink Man Woman,Comedy|Drama|Romance
109759,Exotica,Drama
109707,Ed Wood,Biography|Comedy|Drama
113117,French Kiss,Comedy|Drama|Romance
113097,Forget Paris,Comedy|Romance
113028,Far from Home: The Adventures of Yellow Dog,Adventure|Family
113198,A Goofy Movie,Animation|Adventure|Comedy
113303,Hideaway,Fantasy|Horror|Thriller
113089,Fluke,Drama|Family|Fantasy
109771,Farinelli,Biography|Drama|Music
113199,Gordy,Comedy|Drama|Family
113234,Gumby: The Movie,Animation|Action|Adventure
109906,The Glass Shield,Crime|Drama
110057,Hoop Dreams,Documentary|Drama|Sport
110005,Heavenly Creatures,Biography|Crime|Drama
110066,Houseguest,Comedy
110116,Immortal Beloved,Biography|Drama|Music
110006,Heavy Weights,Comedy|Drama|Family
113360,The Hunted,Action|Drama|Thriller
110099,I.Q.,Comedy|Romance
110148,Interview with the Vampire: The Vampire Chronicles,Drama|Fantasy|Horror
113463,Jefferson in Paris,Biography|Drama|History
110189,The Jerky Boys,Comedy|Crime
110216,Junior,Comedy|Romance|Sci-Fi
113501,Just Cause,Action|Crime|Drama
113552,Kiss of Death,Action|Crime|Thriller
76759,Star Wars: Episode IV - A New Hope,Action|Adventure|Fantasy
113670,A Little Princess,Drama|Family|Fantasy
110296,Ladybird Ladybird,Drama
109731,L'Enfer,Crime|Drama|Thriller
103994,Como agua para chocolate,Drama|Romance
110322,Legends of the Fall,Drama|Romance|War
110443,Major Payne,Adventure|Comedy|Family
110365,Little Odessa,Crime|Drama
107566,Mi vida loca,Crime|Drama
110391,Love Affair,Comedy|Drama|Romance
113691,Losing Isaiah,Drama
110428,The Madness of King George,Biography|Comedy|Drama
109836,Mary Shelley's Frankenstein,Drama|Horror|Romance
113755,Man of the House,Comedy|Family
110538,Mixed Nuts,Comedy|Drama
110516,Milk Money,Comedy|Romance
110527,Miracle on 34th Street,Family|Fantasy
113896,My Family,Drama
113870,Murder in the First,Drama|Thriller
110684,Nobody's Fool,Comedy|Drama
110638,Nell,Drama
113967,New Jersey Drive,Crime|Drama
117169,New York Cop,Action|Crime|Drama
106402,Beyond Bedlam,Comedy|Horror
110671,Nina Takes a Lover,Comedy|Romance
110632,Natural Born Killers,Crime|Drama
110737,Only You,Comedy|Romance
110729,Once Were Warriors,Crime|Drama
114069,Outbreak,Action|Drama|Thriller
114113,The Perez Family,Comedy|Romance|Drama
114210,A Pyromaniac's Love Story,Comedy|Romance
110912,Pulp Fiction,Crime|Drama
114084,Panther,Drama
105652,Tui shou,Comedy|Drama
110889,Priest,Drama|Romance
110932,Quiz Show,Biography|Drama|History
114129,Picture Bride,Drama|Romance
110963,Queen Margot,Biography|Crime|Drama
114214,The Quick and the Dead,Action|Romance|Thriller
114296,Roommates,Comedy|Drama
110907,Ready to Wear,Comedy|Drama
111495,Three Colors: Red,Drama|Mystery|Romance
111507,Three Colors: White,Comedy|Drama|Romance
110769,Pao Da Shuang Deng,Drama|Romance
114268,Rent-a-Kid,Drama|Family|Comedy
110965,Relative Fear,Drama|Horror|Thriller
114571,Stuart Saves His Family,Comedy|Drama
111333,The Swan Princess,Animation|Comedy|Family
111112,The Secret of Roan Inish,Drama|Family|Fantasy
111255,The Specialist,Action|Crime|Drama
111282,Stargate,Action|Adventure|Sci-Fi
111070,The Santa Clause,Comedy|Drama|Family
111149,Shallow Grave,Crime|Thriller
108260,Suture,Drama|Thriller
106966,Strawberry and Chocolate,Comedy|Drama|Romance
114594,Swimming with Sharks,Comedy|Crime
111309,The Sum of Us,Comedy|Drama
113936,Senior Trip,Adventure|Comedy
110081,To Live,Drama|History|War
114614,Tank Girl,Action|Comedy|Sci-Fi
114608,Tales from the Crypt: Demon Knight,Action|Fantasy|Horror
111280,Star Trek: Generations,Action|Adventure|Mystery
114609,Tales from the Hood,Crime|Horror|Thriller
111454,Tom & Viv,Biography|Drama|Romance
114852,Village of the Damned,Horror|Sci-Fi|Thriller
114694,Tommy Boy,Adventure|Comedy
111590,Vanya on 42nd Street,Comedy|Drama|Romance
114788,The Underneath,Crime|Thriller
114888,The Walking Dead,Drama|War
108550,What's Eating Gilbert Grape,Drama
114924,While You Were Sleeping,Comedy|Drama|Romance
111667,The War,Drama
109655,Double Happiness,Drama|Romance
110598,Muriel's Wedding,Comedy|Drama|Romance
112435,The Baby-Sitters Club,Comedy|Drama|Family
109045,"The Adventures of Priscilla, Queen of the Desert",Comedy|Music
106339,Backbeat,Biography|Drama|Music
104779,Bitter Moon,Drama|Romance|Thriller
109348,Bullets Over Broadway,Comedy|Crime
109444,Clear and Present Danger,Action|Crime|Drama
109446,The Client,Crime|Drama|Mystery
109504,Crooklyn,Comedy|Drama
109506,The Crow,Action|Drama|Fantasy
109450,Cobb,Biography|Drama|Sport
109813,The Flintstones,Comedy|Family|Fantasy
109831,Four Weddings and a Funeral,Comedy|Drama|Romance
113305,Higher Learning,Crime|Drama|Romance
110091,I Like It Like That,Comedy|Drama|Romance
110093,I Love Trouble,Action|Comedy|Romance
110167,It Could Happen to You,Comedy|Drama|Romance
110213,The Jungle Book,Adventure|Family|Romance
107472,Die Macht der Bilder: Leni Riefenstahl,Documentary|Biography|History
110357,The Lion King,Animation|Adventure|Drama
107426,Little Buddha,Drama
111686,New Nightmare,Fantasy|Horror|Mystery
110475,The Mask,Comedy|Family|Fantasy
110478,Maverick,Action|Adventure|Comedy
110588,Mrs. Parker and the Vicious Circle,Biography|Drama
110622,Naked Gun 33 1/3: The Final Insult,Comedy|Crime
110771,The Paper,Comedy|Drama
110950,Reality Bites,Comedy|Drama|Romance
110989,Ri¢hie Ri¢h,Comedy|Family
111054,Safe Passage,Drama
110997,The River Wild,Action|Adventure|Crime
111257,Speed,Action|Adventure|Crime
111256,Speechless,Comedy|Romance
111438,Timecop,Action|Crime|Sci-Fi
111503,True Lies,Action|Comedy|Thriller
111693,When a Man Loves a Woman,Drama|Romance
111742,Wolf,Drama|Horror|Romance
111756,Wyatt Earp,Adventure|Biography|Crime
112443,Bad Company,Crime|Drama|Thriller
110455,A Man of No Importance,Comedy|Drama
111048,S.F.W.,Comedy|Drama
110399,A Low Down Dirty Shame,Action|Comedy|Crime
112570,"Boys Life: Three Stories of Love, Lust, and Liberation",Drama
109454,Colonel Chabert,Drama|History|Romance
59170,"Faster, Pussycat! Kill! Kill!",Action|Comedy
110186,Jason's Lyric,Crime|Drama|Romance
108069,The Secret Adventures of Tom Thumb,Animation|Adventure|Sci-Fi
111301,Street Fighter,Action|Adventure|Comedy
112702,Coldblooded,Action|Comedy|Thriller
112849,Desert Winds,Drama|Mystery|Romance
113014,Fall Time,Drama|Comedy|Crime
113043,The Fear,Horror
113104,Frank and Ollie,Documentary
113173,Girl in the Cadillac,Adventure|Crime|Drama
113319,Homage,Drama|Thriller
113827,Mirage,Action|Thriller
112889,Dos crí_menes,Comedy|Crime|Drama
109339,Brother Minister: The Assassination of Malcolm X,Documentary
110027,Highlander: The Final Dimension,Action|Fantasy|Romance
109785,Federal Hill,Crime|Drama
113409,In the Mouth of Madness,Fantasy|Horror|Mystery
109021,8 Seconds,Biography|Drama|Sport
109035,Above the Rim,Crime|Drama|Sport
106220,Addams Family Values,Comedy|Fantasy
111804,Martin Lawrence: You So Crazy,Documentary|Comedy
106226,The Age of Innocence,Drama|Romance
109068,Airheads,Comedy|Crime|Music
109067,The Air Up There,Comedy|Family|Sport
106292,Another Stakeout,Action|Comedy|Crime
109198,Bad Girls,Romance|Western
109219,Barcelona,Comedy|Drama|Romance
106379,Being Human,Comedy|Drama
106400,The Beverly Hillbillies,Comedy|Family
109254,Beverly Hills Cop III,Action|Comedy|Crime
109279,Black Beauty,Adventure|Drama|Family
109297,Blink,Crime|Drama|Mystery
109303,Blown Away,Action|Crime|Drama
109305,Blue Chips,Drama|Sport
109306,Blue Sky,Drama|Romance
106452,Body Snatchers,Horror|Sci-Fi
106471,Boxing Helena,Drama|Mystery|Romance
109361,Cabin Boy,Adventure|Comedy|Romance
106505,Calendar Girl,Drama|Comedy
109439,City Slickers II: The Legend of Curly's Gold,Comedy|Western
109443,Clean Slate,Comedy|Mystery
106582,Cliffhanger,Action|Adventure|Thriller
106598,Coneheads,Comedy|Sci-Fi
109456,Color of Night,Mystery|Romance|Thriller
109493,The Cowboy Way,Action|Comedy|Crime
106660,Dangerous Game,Drama
106673,Dave,Comedy|Romance
106677,Dazed and Confused,Comedy
106697,Demolition Man,Action|Crime|Sci-Fi
109729,The Endless Summer 2,Documentary|Adventure|Sport
106834,Even Cowgirls Get the Blues,Comedy|Drama|Romance
106873,Fatal Instinct,Comedy|Crime|Thriller
106332,Farewell My Concubine,Drama|Music|Romance
109783,The Favor,Comedy|Romance
106881,Fearless,Drama|Thriller
106880,Fear of a Black Hat,Comedy|Music
111732,With Honors,Comedy|Drama
106926,Flesh and Bone,Drama|Mystery|Romance
111712,Widows' Peak,Comedy|Crime|Mystery
106941,For Love or Money,Comedy|Drama|Romance
106918,The Firm,Drama|Mystery|Thriller
106965,Free Willy,Adventure|Drama|Family
109842,Fresh,Crime|Drama|Thriller
106977,The Fugitive,Action|Crime|Drama
107004,Geronimo: An American Legend,Drama|History|Western
109890,The Getaway,Action|Adventure|Crime
109891,Getting Even with Dad,Comedy|Crime|Family
109913,Go Fish,Drama|Romance
109920,A Good Man in Africa,Comedy
107057,Guilty as Sin,Crime|Drama|Thriller
107076,Hard Target,Action|Thriller
107096,Heaven & Earth,Action|Biography|Drama
107144,Hot Shots! Part Deux,Action|Comedy
113674,Live Nude Girls,Comedy
107151,The House of the Spirits,Drama|Romance
110064,House Party 3,Comedy|Music|Romance
110074,The Hudsucker Proxy,Comedy|Drama|Fantasy
110097,I'll Do Anything,Comedy|Drama
110123,In the Army Now,Comedy|War
107206,In the Line of Fire,Action|Drama|Thriller
110137,The Inkwell,Romance|Comedy|Drama
108551,What's Love Got to Do with It,Biography|Drama|Music
110197,Jimmy Hollywood,Crime|Comedy|Drama
107286,Judgment Night,Action|Crime|Drama
107290,Jurassic Park,Adventure|Sci-Fi|Thriller
107302,Kalifornia,Crime|Drama|Thriller
107322,King of the Hill,Drama|History
110305,Lassie,Family|Adventure
107362,Last Action Hero,Action|Adventure|Comedy
107413,Life with Mikey,Comedy|Family
110353,Lightning Jack,Comedy|Western
107478,Made in America,Comedy
107497,Malice,Crime|Mystery|Thriller
107501,The Man Without a Face,Drama
107507,Manhattan Murder Mystery,Comedy|Mystery
107554,Menace II Society,Crime|Drama|Thriller
116253,Executive Decision,Action|Adventure|Thriller
74102,In the Realm of the Senses,Biography|Drama|Horror
111689,What Happened Was...,Comedy|Drama|Romance
107616,Much Ado About Nothing,Comedy|Drama|Romance
107611,Mr. Jones,Drama|Romance
107613,Mr. Wonderful,Comedy|Romance
107614,Mrs. Doubtfire,Comedy|Drama|Family
107653,Naked,Comedy|Drama
110657,The Next Karate Kid,Action|Drama|Family
110649,The New Age,Comedy|Drama
110678,No Escape,Action|Drama|Sci-Fi
110687,North,Adventure|Comedy|Drama
107756,Orlando,Biography|Drama|Fantasy
107808,A Perfect World,Crime|Drama|Thriller
107822,The Piano,Drama|Music|Romance
107840,Poetic Justice,Drama|Romance
107889,The Program,Action|Drama|Sport
111003,The Puppet Masters,Horror|Sci-Fi|Thriller
110939,Radioland Murders,Comedy|Crime|Drama
110955,The Ref,Comedy|Crime|Drama
107943,The Remains of the Day,Drama|Romance
110971,Renaissance Man,Comedy|Drama
107969,Rising Sun,Action|Crime|Drama
111001,The Road to Wellville,Comedy|Drama
107978,RoboCop 3,Action|Crime|Sci-Fi
107977,Robin Hood: Men in Tights,Adventure|Comedy|Musical
107983,Romeo Is Bleeding,Action|Crime|Drama
105275,Romper Stomper,Crime|Drama
108000,Ruby in Paradise,Drama|Romance
108002,Rudy,Biography|Drama|Sport
108026,The Saint of Fort Washington,Drama
108052,Schindler's List,Biography|Drama|History
111094,The Scout,Comedy|Drama|Sport
111102,Second Best,Drama
108071,The Secret Garden,Drama|Family|Fantasy
111127,Serial Mom,Comedy|Crime|Horror
111143,The Shadow,Action|Adventure|Crime
108101,Shadowlands,Biography|Drama|Romance
108122,Short Cuts,Comedy|Drama
111194,A Simple Twist of Fate,Drama|Comedy
108149,Six Degrees of Separation,Comedy|Drama|Mystery
108160,Sleepless in Seattle,Comedy|Drama|Romance
83658,Blade Runner,Sci-Fi|Thriller
108186,Son in Law,Comedy|Drama|Romance
108174,So I Married an Axe Murderer,Comedy|Romance
108238,Striking Distance,Action|Crime|Mystery
89256,Harem,Drama
108255,Super Mario Bros.,Adventure|Comedy|Family
111323,Surviving the Game,Action|Adventure|Crime
111400,Terminal Velocity,Action|Comedy|Mystery
108328,Thirty Two Short Films About Glenn Gould,Biography|Drama|Music
107688,The Nightmare Before Christmas,Animation|Family|Fantasy
108333,The Three Musketeers,Action|Adventure|Comedy
108358,Tombstone,Action|Biography|Drama
111488,Trial by Jury,Thriller|Crime|Drama
110763,The Pagemaster,Animation|Adventure|Comedy
107779,"Paris, France",Comedy|Drama
109226,"The Beans of Egypt, Maine",Drama
114906,Welcome to the Dollhouse,Comedy|Drama
107002,Germinal,Drama|Romance
109403,Chasers,Comedy
104029,Cronos,Horror
110623,Naked in New York,Comedy|Romance
107315,Kika,Comedy
106408,Bhaji on the Beach,Comedy|Drama
107349,The Slingshot,Drama
111709,Wide-Eyed and Legless,Comedy|Crime|Drama
109828,Foreign Student,Drama
107225,"Ciao, Professore!",Comedy
111252,Spanking the Monkey,Comedy|Drama
110366,The Little Rascals,Comedy|Family|Romance
106878,íó la mode,Comedy
109120,Andre,Adventure|Drama|Family
108059,La scorta,Crime|Drama|Thriller
110892,Princess Caraboo,Comedy|Drama|History
112651,The Celluloid Closet,Documentary|History
107642,Cafí© au lait,Comedy|Romance
109382,Caro diario,Biography|Comedy|Drama
106678,I Don't Want to Talk About It,Drama|Romance
112572,The Brady Bunch Movie,Comedy
99653,Ghost,Drama|Fantasy|Romance
103639,Aladdin,Animation|Adventure|Comedy
103064,Terminator 2: Judgment Day,Action|Sci-Fi|Thriller
99348,Dances with Wolves,Adventure|Drama|Western
114706,Tough and Deadly,Action|Drama|Thriller
96895,Batman,Action|Adventure
102926,The Silence of the Lambs,Crime|Drama|Thriller
29583,Snow White and the Seven Dwarfs,Animation|Family|Fantasy
101414,Beauty and the Beast,Animation|Family|Fantasy
32910,Pinocchio,Animation|Comedy|Family
100405,Pretty Woman,Comedy|Romance
110719,Window to Paris,Comedy|Drama|Fantasy
65214,The Wild Bunch,Action|Adventure|Western
110395,Love and a .45,Crime|Romance|Thriller
111752,Wu kui,Drama
109934,A Great Day in Harlem,Documentary|Music
112606,Bye Bye Love,Comedy
115978,Criminals,Documentary
117247,One Fine Day,Comedy|Drama|Romance
112625,Candyman: Farewell to the Flesh,Horror
106537,Century,Drama|Romance
116282,Fargo,Crime|Drama|Thriller
116552,Homeward Bound II: Lost in San Francisco,Adventure|Comedy|Family
82509,Heavy Metal,Animation|Adventure|Fantasy
116514,Hellraiser: Bloodline,Horror|Sci-Fi
117283,The Pallbearer,Comedy|Romance
116684,Jane Eyre,Drama|Romance
110374,Loaded,Drama|Thriller|Mystery
70506,Bread and Chocolate,Comedy|Drama
65421,The AristoCats,Animation|Adventure|Comedy
113083,The Flower of My Secret,Drama
118001,Two Much,Comedy|Romance
116165,Ed,Comedy|Family|Sport
102855,Cerro Torre: Schrei aus Stein,Drama
107471,Ma saison prí©fí©rí©e,Drama|Romance
113839,A Modern Affair,Comedy|Drama|Romance
112712,Condition Red,Action|Drama|Thriller
90665,Halfaouine: Boy of the Terraces,Drama|Comedy
117891,A Thin Line Between Love and Hate,Comedy|Crime|Drama
113613,The Last Supper,Comedy|Crime|Drama
117381,Primal Fear,Crime|Drama|Mystery
114305,Rude,Crime|Drama
115837,Carried Away,Drama|Romance
115509,All Dogs Go to Heaven 2,Animation|Adventure|Family
114671,Land and Freedom,Drama|War
112844,Denise Calls Up,Comedy
114658,Theodore Rex,Action|Comedy|Family
116275,A Family Thing,Comedy|Drama
113122,Frisk,Drama|Thriller
117608,Sgt. Bilko,Comedy
113448,Jack & Sarah,Comedy|Drama|Romance
116414,Girl 6,Comedy|Drama
116095,Diabolique,Drama|Horror|Thriller
111543,"Little Indian, Big City",Adventure|Comedy|Romance
117517,Roula,Drama
117312,Peanuts - Die Bank zahlt alles,Comedy
113947,Nelly & Monsieur Arnaud,Drama
117060,Mission: Impossible,Action|Adventure|Thriller
109028,Cold Fever,Comedy|Drama|Mystery
117071,Moll Flanders,Drama|Romance
117788,Das Superweib,Comedy
112257,"301, 302",Horror|Mystery|Thriller
116136,DragonHeart,Action|Adventure|Fantasy
118026,Und keiner weint mir nach,Biography|Drama
117117,My Mother's Courage,Drama|War
116168,Eddie,Comedy|Sport
111787,Yankee Zulu,Comedy|Drama
112509,Billy's Holiday,Musical
54189,Purple Noon,Crime|Drama|Thriller
115591,August,Comedy|Drama|Romance
116683,James and the Giant Peach,Animation|Adventure|Family
116287,Fear,Drama|Thriller
116768,Kids in the Hall: Brain Candy,Comedy
116269,Faithful,Comedy|Crime|Drama
114787,Underground,Comedy|Drama|War
113720,Lust och fí_gring stor,Drama|Romance|War
112536,Bloodsport 2,Action|Sport
52572,Apur Sansar,Drama
117128,Mystery Science Theater 3000: The Movie,Comedy|Horror|Sci-Fi
114616,Tarantella,Drama
117705,Space Jam,Animation|Adventure|Comedy
62711,Barbarella,Adventure|Comedy|Fantasy
110061,Hostile Intentions,Action|Drama|Thriller
140614,They Bite,Comedy|Horror|Sci-Fi
108181,Some Folks Call It a Sling Blade,Short|Drama|Thriller
114307,The Run of the Country,Drama|Romance
58898,Alphaville,Drama|Mystery|Sci-Fi
82206,Coup de torchon,Comedy|Crime|Drama
111430,Tigrero: A Film That Was Never Made,Documentary|Drama
107727,L'oeil de Vichy,Documentary|War
81759,Windows,Drama|Thriller
113443,It's My Party,Drama
109491,Country Life,Drama|Romance
114048,Operation Dumbo Drop,Action|Adventure|Comedy
111613,Das Versprechen,Romance|Drama
117104,Mrs. Winterbourne,Comedy|Drama|Romance
117688,Solo,Action|Sci-Fi|Thriller
109751,Under the Domim Tree,Drama
114736,True Crime,Crime|Drama|Mystery
112604,Butterfly Kiss,Comedy|Drama|Romance
116289,Feeling Minnesota,Comedy|Crime|Drama
109593,Delta of Venus,Drama
103095,To Cross the Rubicon,Comedy
112368,Angus,Comedy|Drama
104046,Daens,Biography|Drama|History
62952,Faces,Drama
115742,Boys,Mystery|Drama|Romance
117420,The Quest,Action|Adventure|Thriller
115951,Cosi,Comedy|Drama|Music
117784,Sunset Park,Drama|Sport
117107,Mulholland Falls,Crime|Drama|Mystery
117979,The Truth About Cats & Dogs,Comedy|Romance
95776,Oliver & Company,Animation|Adventure|Comedy
115851,Celtic Pride,Comedy|Sport
116322,Flipper,Family|Adventure
